City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Touros,BR,82.96,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
197,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
198,Huangmei,CN,80.46,overcast clouds,30.1924,116.025,Tianxiachan Hotel
199,Faanui,PF,80.35,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
203,Tsurib,RU,60.13,light rain,42.2368,46.8307,
204,Kudahuvadhoo,MV,83.08,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
206,Nara,JP,78.91,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
207,Sarangani,PH,80.71,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
208,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
209,Seshcha,RU,72.66,broken clouds,53.7361,33.3387,Podorozhnik
210,Martinopolis,BR,74.52,broken clouds,-22.1458,-51.1708,Hotel Pousada Sollar - Martinópolis-SP
211,Gazalkent,UZ,82.04,clear sky,41.5581,69.7708,Khumson Sanatoriy
214,Lander,US,67.1,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
215,Korla,CN,84.07,broken clouds,41.7597,86.1469,Gulisitan Hotel
216,Adre,TD,86.07,overcast clouds,13.4667,22.2,
217,Pimentel,PE,68.29,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
218,Marzuq,YE,85.96,overcast clouds,14.4,46.4667,
221,Abu Samrah,SY,77.4,clear sky,35.3029,37.1841,
222,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
223,Forest Hills,US,79.43,broken clouds,42.9595,-85.4898,Ada Bed and Breakfast
227,Isangel,VU,74.66,broken clouds,-19.55,169.2667,Tanna Lodge
228,Dumas,US,67.6,overcast clouds,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
230,Nea Apollonia,GR,85.8,broken clouds,40.6333,23.45,Hotel Voutsas
231,Kjopsvik,NO,76.87,broken clouds,68.097,16.3742,Stetind Hotell
232,Pasni,PK,83.14,scattered clouds,25.2631,63.471,Kashmiri Hotal
233,Nikolskoye,RU,82.29,clear sky,59.7035,30.7861,Tourist House - Sablino
235,Paragominas,BR,88.79,scattered clouds,-2.9667,-47.4833,INOVA
236,Chachapoyas,PE,62.82,broken clouds,-6.2317,-77.869,Teresita
237,Arcachon,FR,66.52,overcast clouds,44.5875,-1.0519,Hôtel All Suites Le Teich
238,Cabo San Lucas,MX,78.62,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
239,Tiznit,MA,68.04,clear sky,29.5833,-9.5,
242,Carnarvon,AU,68.94,light rain,-24.8667,113.6333,Hospitality Carnarvon
247,Jining,CN,79.05,heavy intensity rain,35.405,116.5814,Yunhe Star Hotel
248,Cognac,FR,67.6,clear sky,45.5,-0.25,Domaine de Pladuc
249,Hohhot,CN,64.69,scattered clouds,40.8106,111.6522,Sheraton Hohhot Hotel
250,Loreto,MX,73.35,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
251,Imbituba,BR,63.09,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
252,Tibacuy,CO,72.39,overcast clouds,4.3511,-72.4564,hospedaje las palmas
254,Lata,PT,65.93,broken clouds,40.1629,-8.3327,Casa Maquia
255,Namibe,AO,68.63,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
256,Hami,CN,86.23,clear sky,42.8,93.45,Laoyutang Resort
257,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
259,Tual,ID,79.52,moderate rain,-5.6667,132.75,Grand Vilia Hotel
261,Butaritari,KI,82.17,light rain,3.0707,172.7902,Isles Sunset Lodge
262,Sukhobezvodnoye,RU,64.17,clear sky,57.0491,44.8891,
263,Guangzhou,CN,82.87,broken clouds,23.1167,113.25,Shangjiuwan Hotel
264,Srivardhan,IN,80.58,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
265,Weligama,LK,79.48,overcast clouds,5.9667,80.4167,Weligama Bay Resort
266,Wuan,CN,79.12,light rain,31.6836,112.0044,武镇大酒店
267,Caravelas,BR,76.68,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
269,Liverpool,GB,68.61,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
270,Saint-Philippe,RE,65.79,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
272,Shizunai,JP,62.1,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
275,Ponta Do Sol,PT,74.71,scattered clouds,32.6667,-17.1,Hotel do Campo
276,Liepaja,LV,84.18,clear sky,56.5419,21.0367,Promenade Hotel
277,Gorontalo,ID,74.86,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
280,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
281,Bandarbeyla,SO,81.14,broken clouds,9.4942,50.8122,JABIR HOTEL
282,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
283,Urumqi,CN,85.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
284,Axim,GH,78.75,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
285,Bethel,US,89.19,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
290,Rosetta,EG,78.55,clear sky,31.4044,30.4164,Green Valley
294,Oksfjord,NO,64.47,scattered clouds,70.2396,22.3479,
295,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
296,Motygino,RU,63.14,light rain,58.1831,94.7592,"Gostinitsa ""Uyut"""
297,Laon,FR,63.01,overcast clouds,49.5667,3.6667,ibis Laon
298,Hargeysa,SO,69.87,moderate rain,9.56,44.065,City Center Hotel
299,Erzin,TR,75.54,scattered clouds,36.9559,36.2,Artemis Otel
300,Chapais,CA,82.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
301,Dingle,PH,77.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
302,Vikindu,TZ,72.36,broken clouds,-7.0067,39.2985,RUTA GUEST HOUSE
303,Mountain Home,US,72.88,clear sky,43.133,-115.6912,Mountain Home Inn
304,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
305,Mumford,GH,78.1,overcast clouds,5.2618,-0.759,Spanish Villa
307,Oromocto,CA,73.33,clear sky,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
308,Verkhnyaya Toyma,RU,66.51,broken clouds,62.2349,44.9985,Gostinitsa
310,Manono,CD,78.8,scattered clouds,-7.3,27.4167,Hotel hewa bora
312,Charters Towers,AU,65.16,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
313,Thinadhoo,MV,82.53,heavy intensity rain,0.5333,72.9333,
314,Aska,IN,82.72,scattered clouds,19.6061,84.6725,Tushar rent house
316,Saku,JP,64.99,few clouds,36.2167,138.4833,Saku Grand Hotel
317,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
320,Jiexiu,CN,72.7,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
323,Zaysan,KZ,76.6,clear sky,47.4667,84.8667,Ерлан үй
324,Natal,BR,88.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
325,Chelmza,PL,87.06,clear sky,53.1846,18.6047,"""Tumska Przystań"" Restauracja & Hotel"
326,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
327,Phibun Mangsahan,TH,80.58,moderate rain,15.2447,105.2291,ซันนี่ รีสอร์ท
328,Portobelo,PA,82.96,overcast clouds,9.55,-79.65,Scuba Portobelo
329,Harper,LR,79.45,light rain,4.375,-7.7169,Screensaver
330,Springbok,ZA,60.76,clear sky,-29.6643,17.8865,Undulata Country Lodge
331,Peniche,PT,71.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
332,Deulgaon Raja,IN,78.55,broken clouds,20.0167,76.0333,Hotel YOGIRAJ LODGING & BOARDIING
333,Rio Rancho,US,63.79,overcast clouds,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
335,Khakhea,BW,63.46,scattered clouds,-24.6895,23.494,
336,Zhezkazgan,KZ,85.98,clear sky,47.8043,67.7144,Hotel Zumrat
337,Port Hawkesbury,CA,72.9,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
338,Meghri,AM,72.14,few clouds,38.9029,46.2446,Haer B&B
339,Emerald,AU,60.35,overcast clouds,-23.5333,148.1667,The Irish Village
340,Karpathos,GR,78.76,clear sky,35.507,27.2132,Alex
341,Lagoa,PT,65.77,light rain,39.05,-27.9833,Casa Das Faias
342,Baie-Comeau,CA,65.88,clear sky,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
346,Pskov,RU,84.11,clear sky,57.8136,28.3496,Zolotaya Naberezhnaya
348,Sola,VU,80.83,scattered clouds,-13.8833,167.55,Leumerus Bungalows
349,Yatou,CN,73.53,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
350,Palanga,LT,84.22,clear sky,55.9175,21.0686,"Hotel ""Austėja"""
352,Torbay,CA,78.89,broken clouds,47.6666,-52.7314,Gallows Cove
353,Coos Bay,US,64.24,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
355,Tlapacoyan,MX,84.06,clear sky,19.9667,-97.2167,Hotel San Diego
357,Hervey Bay,AU,64.67,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
358,Lokhvytsya,UA,71.94,overcast clouds,50.3678,33.2602,Ukraine
359,Baiyin,CN,70.11,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
360,Tongliao,CN,70.86,broken clouds,43.6125,122.2653,Meirujia Hotel
361,Mbigou,GA,71.83,overcast clouds,-1.9005,11.906,
362,Sokoni,TZ,77.76,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
363,Faya,SA,81.12,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
364,Ribeira Brava,PT,72.12,broken clouds,32.65,-17.0667,Hotel do Campo
365,Oksovskiy,RU,65.59,broken clouds,62.6062,39.8984,Hotel Severoonezhsk
366,Anshun,CN,68.49,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
368,West Bay,KY,87.87,few clouds,19.3667,-81.4167,Calypso Cove
369,Ambilobe,MG,69.62,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
371,Dzhebariki-Khaya,RU,63.81,clear sky,62.2167,135.8,
372,Inuvik,CA,63.61,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
374,Yenagoa,NG,76.55,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
375,Beloha,MG,63.73,scattered clouds,-25.1667,45.05,
376,Bartica,GY,86.32,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
377,Ugra,RU,74.79,scattered clouds,54.7777,34.3267,Gostinichnyy Kompleks Vizit
378,Safford,US,76.12,overcast clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
379,Hobyo,SO,80.33,clear sky,5.3505,48.5268,Iftin hotel hobyo
380,Altea,ES,81.79,clear sky,38.5989,-0.0514,Albir Playa Hotel & Spa
382,Pervomayskiy,RU,69.67,scattered clouds,53.2485,40.2871,
384,Zhoucheng,CN,79.39,heavy intensity rain,35.9122,116.3117,Yingbin Restaurant
386,Ucar,AZ,78.98,light rain,40.519,47.6542,Aşura market
387,Chifeng,CN,73.22,light rain,42.2683,118.9636,Junyu Tiancheng Hotel
388,Cuitzeo,MX,82.63,overcast clouds,20.3333,-102.7833,Hotel Home 1
389,Meiganga,CM,69.15,moderate rain,6.5167,14.3,DFR HOUSE
390,Lodja,CD,81.82,broken clouds,-3.4833,23.4333,
391,Edson,CA,68.11,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
